trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.5, 'e': 0.2959999999999994}",20,10,18.03495173908636,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.28799999999999937}",20,0,0.9932962954342961,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,13,14.13181414572994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.27199999999999935}",25,11,-6.787576394005266,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.26399999999999935}",20,15,-3.5793746339119594,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.25599999999999934}",30,0,-63.5730179015467,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.24799999999999933}",25,15,4.0616911302709635,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.23999999999999932}",30,10,-34.85914433540936,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.23199999999999932}",20,10,18.47961341713578,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.2239999999999993}",35,16,6.568583418203618,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.2159999999999993}",20,3,-11.237309211162788,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.2079999999999993}",25,13,22.22256107260958,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,20,10.164564372890357,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.19199999999999928}",20,0,-54.99833430902806,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.18399999999999928}",25,11,-61.50506498364992,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
103,False,"{'a': 0.5, 'e': 0.17599999999999927}",20,11,19.732617186981653,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.16799999999999926}",20,8,5.648058393459972,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,13,11.877976035553466,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.15199999999999925}",30,19,21.86175825434106,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.14399999999999924}",20,0,-10.871576559200179,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.13599999999999923}",20,13,11.690863517684,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.12799999999999923}",20,15,11.201972014863165,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,9,15.05471001267058,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.11199999999999921}",25,13,15.180512565844973,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.1039999999999992}",35,18,23.562581579930196,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.0959999999999992}",20,12,14.387232288244725,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.08799999999999919}",20,4,6.388386625367829,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.07999999999999918}",25,15,22.563371161319452,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.07199999999999918}",25,19,7.959613969067626,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.06399999999999917}",20,10,-24.330935490336323,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
