trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
272,False,"{'a': 0.5, 'e': 0.4677967717318567}",20,5,25.10322504911231,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.46425769455160537}",25,0,3.595701817912243,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
274,False,"{'a': 0.5, 'e': 0.46071118925814536}",25,14,-1.6469720555693055,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.45715731259548575}",30,0,-51.01133332678879,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
276,False,"{'a': 0.5, 'e': 0.4535961214255773}",25,0,-14.242820809834683,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
277,False,"{'a': 0.5, 'e': 0.45002767272740274}",25,11,-15.412585288726335,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
278,False,"{'a': 0.5, 'e': 0.4464520235960651}",35,24,-16.321534217704553,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.4428692312418743}",20,0,-34.49450601233919,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
280,False,"{'a': 0.5, 'e': 0.43927935298943144}",20,0,6.147843028442089,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
281,False,"{'a': 0.5, 'e': 0.43568244627671204}",25,15,-28.464351845249602,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.4320785686541468}",25,0,-28.103534391687067,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
283,False,"{'a': 0.5, 'e': 0.42846777778370077}",20,12,2.1860661691779795,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.4248501314379508}",25,18,11.617713103916344,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.42122568749916134}",35,18,30.162491714178632,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.41759450395835795}",20,0,10.268833372346805,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
287,False,"{'a': 0.5, 'e': 0.4139566389144}",30,0,-196.01790542514675,"{0: 20, 1: 1, 2: 2, 3: 4, 4: 3}",0
288,False,"{'a': 0.5, 'e': 0.4103121505730504}",35,19,-61.173190798502986,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
289,False,"{'a': 0.5, 'e': 0.40666109724604504}",25,0,-91.60956672238775,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
290,False,"{'a': 0.5, 'e': 0.4030035373501593}",20,8,-33.57178122248961,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
291,False,"{'a': 0.5, 'e': 0.3993395294062732}",20,0,-0.18218709779060793,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
292,False,"{'a': 0.5, 'e': 0.39566913203843584}",30,14,-25.328664199531666,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
293,False,"{'a': 0.5, 'e': 0.39199240397292684}",20,13,-0.9737793376373358,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.38830940403731673}",20,7,7.851836728985379,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.38462019115952595}",30,0,-37.53811468926954,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
296,False,"{'a': 0.5, 'e': 0.3809248243668818}",20,2,10.143541861119763,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.37722336278517427}",20,9,11.806852407778127,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.37351586563770955}",20,8,-28.59205807682621,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
299,False,"{'a': 0.5, 'e': 0.36980239224436295}",20,13,-29.850798959372007,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
300,False,"{'a': 0.5, 'e': 0.36608300202062954}",20,3,17.620702203833204,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.3623577544766736}",20,2,9.745949533724836,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.35862670921637635}",20,0,-33.29442871273305,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
303,False,"{'a': 0.5, 'e': 0.3548899259363823}",30,15,-32.056473325301106,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.3511474644251443}",25,0,-37.337275445664396,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
305,False,"{'a': 0.5, 'e': 0.34739938456196656}",30,0,-23.453282297045003,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.34364574631604705}",25,10,-13.004510094221091,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.3398866097455176}",20,0,-24.886948977824115,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
308,False,"{'a': 0.5, 'e': 0.3361220349964831}",20,11,-67.81403802422945,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
309,False,"{'a': 0.5, 'e': 0.33235208230205926}",20,9,8.878783008818097,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.3285768119814088}",20,0,-32.21742669788135,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
311,False,"{'a': 0.5, 'e': 0.32479628443877623}",30,8,-23.876842128565627,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
312,False,"{'a': 0.5, 'e': 0.32101056016252166}",20,9,-1.6302626371316224,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.3172196997241527}",20,11,-5.1878079143701745,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.3134237637773555}",20,4,27.79959781042348,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.3096228130570242}",20,0,-43.30375403447121,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
316,False,"{'a': 0.5, 'e': 0.3058169083782893}",25,0,-20.00664179212056,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
317,False,"{'a': 0.5, 'e': 0.30200611063554444}",25,0,40.45881377112679,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
318,False,"{'a': 0.5, 'e': 0.2981904808014722}",25,8,18.296060133616617,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.29437007992606856}",25,11,23.251312665186802,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.29054496913566596}",30,17,2.8094727525986682,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.28671520963195546}",20,12,1.38907497775478,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
322,False,"{'a': 0.5, 'e': 0.2828808626910075}",25,13,9.969047517882204,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.2790419896622912}",20,2,-9.356913813933446,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.2751986519676933}",20,5,5.346399491450866,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.2713509111005347}",35,5,6.809309865002497,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.26749882862458735}",25,13,13.441329665413937,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.2636424661730887}",25,0,-20.462284807531326,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
328,False,"{'a': 0.5, 'e': 0.25978188544775555}",20,16,9.576157875896687,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.2559171482177973}",25,10,-27.540540326345074,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
330,False,"{'a': 0.5, 'e': 0.25204831631892716}",25,3,-10.689389096486172,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
331,False,"{'a': 0.5, 'e': 0.2481754516523729}",25,0,-44.30968167331862,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
332,False,"{'a': 0.5, 'e': 0.24429861618388662}",25,3,33.48270932631891,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.2404178719427531}",25,11,8.490115500753529,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': 0.2365332810207974}",20,11,16.775576860484026,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.5, 'e': 0.23264490557139142}",25,12,0.04933292538044887,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.22875280780845939}",20,7,-19.643564854839074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
337,False,"{'a': 0.5, 'e': 0.22485705000548248}",30,18,22.890462502110825,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.5, 'e': 0.22095769449450242}",20,10,19.09558660397607,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.2170548036651242}",25,8,20.022783456434304,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.21314843996351784}",25,11,-17.844243841027268,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
341,False,"{'a': 0.5, 'e': 0.20923866589141926}",20,0,12.058971032160965,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
342,False,"{'a': 0.5, 'e': 0.20532554400513015}",25,7,-38.51695966543333,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
343,False,"{'a': 0.5, 'e': 0.20140913691451723}",30,13,2.6292302569282233,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.19748950728201042}",25,10,-21.789598336691586,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
345,False,"{'a': 0.5, 'e': 0.1935667178216002}",30,4,-5.727929514270831,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
346,False,"{'a': 0.5, 'e': 0.18964083129783424}",20,5,14.462778344890745,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.1857119105248132}",25,9,-45.70056467185287,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
348,False,"{'a': 0.5, 'e': 0.18178001836518562}",20,0,-40.95177100441036,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
349,False,"{'a': 0.5, 'e': 0.17784521772914214}",30,11,-10.519650295733076,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.17390757157340905}",20,8,-14.746973352042012,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.16996714290024081}",30,16,17.115220902367295,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
352,False,"{'a': 0.5, 'e': 0.1660239947564121}",25,13,10.083128107355664,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
353,False,"{'a': 0.5, 'e': 0.1620781902322094}",25,20,9.371806084662781,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.1581297924604204}",20,15,8.179108637148616,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.15417886461532546}",25,15,19.847604345050424,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
